ID,Group,Age,Gender,Occupation,Experience with JavaScript,Experience with Jest,Which OS do you use?,Please specify your level of agreement: [I had enough time to finish implementing the class],Please specify your level of agreement: [I had enough time to finish testing the class],Please specify your level of agreement: [It was easy to implement the target class.],Please specify your level of agreement: [I have produced a good implementation.],Please specify your level of agreement: [I have produced a good test suite.],Please specify your level of agreement: [I am certain my implementation is correct.],Please specify your level of agreement: [The target class was easy to understand.],Please specify your level of agreement: [I actively tested my code.],Please specify your level of agreement: [I wrote tests during development.],Please specify your level of agreement: [I applied TDD.],Please specify your level of agreement: [The achievement system improved my programming behaviour.],Please specify your level of agreement: [The notifications have spurred me on to make progress.],Please specify your level of agreement: [I would also like to use the plugin in everyday programming myself.],Please specify your level of agreement: [The individual achievements were well described and I knew how to achieve them.],Please specify your level of agreement: [The progress of the individual achievements was visible and easy to understand.],Please specify your level of agreement: [The frequency of notifications was good.],Please specify your level of agreement: [The plugin motivated me to test my code better.],Do you have any suggestions on how to improve the plugin?,Which IDEs do you use?,Exam Grade,Approximated grade
177,Treatment,22,Female,Student,>= 3 months && < 6 months,>= 3 months && < 6 months,Windows,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,Partially agree,Partially agree,Partially agree,,"IntelliJ, Visual Studio, VS Code",21.5,21
178,Treatment,22,Female,Student,< 3 months,< 3 months,Windows,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,,"IntelliJ, VS Code, Netbeans",21,21
179,Treatment,23,Female,Student,>= 3 months && < 6 months,< 3 months,Linux,Neither agree nor disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Fully disagree,Partially disagree,Neither agree nor disagree,Fully disagree,Neither agree nor disagree,Fully disagree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Fully agree,Partially disagree,Neither agree nor disagree,"unfortunatly, I had errors with npm install and i didn't have the chance to test properly my code, but i really appreciated the plugin of achievements and i would have used with pleasure",VS Code,30.6,30
180,Treatment,24,Female,Student,>= 3 months && < 6 months,< 3 months,Windows,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Fully agree,Fully agree,,"IntelliJ, VS Code",27.5,27
181,Treatment,24,Female,Student at Politecnico,< 3 months,< 3 months,Windows,Fully agree,Fully disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Fully agree,Partially agree,Partially agree,Fully disagree,Partially agree,Fully agree,Partially agree,Partially agree,Fully agree,Partially agree,Fully agree,,Visual Studio,19.3,18
182,Treatment,22,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Neither agree nor disagree,Partially agree,Partially agree,Partially disagree,Partially agree,Fully agree,Partially agree,Partially disagree,Partially disagree,Fully disagree,Partially disagree,Partially agree,Fully agree,Fully agree,Fully agree,Partially agree,"No, it's well made",VS Code,23.5,24
183,Treatment,22,Female,Student,>= 3 months && < 6 months,< 3 months,Windows,Neither agree nor disagree,Partially disagree,Partially agree,Partially disagree,Fully disagree,Neither agree nor disagree,Partially agree,Fully disagree,Fully disagree,Fully disagree,Neither agree nor disagree,Fully disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,,IntelliJ,20.8,21
184,Treatment,24,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Partially agree,Partially agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,"IntelliJ, Visual Studio, VS Code, Eclipse",18.5,18
185,Treatment,23,Female,student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Fully agree,Partially agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Fully agree,Partially disagree,Partially agree,,"IntelliJ, VS Code",23,24
186,Treatment,22,Female,Student,>= 3 months && < 6 months,>= 3 months && < 6 months,Windows,Partially agree,Partially disagree,Partially agree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,,IntelliJ,25.5,27
187,Treatment,23,Male,Student,>= 3 months && < 6 months,>= 3 months && < 6 months,MacOS,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially disagree,Neither agree nor disagree,Partially disagree,Partially agree,,"VS Code, Eclipse",23.83,24
188,Treatment,22,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,"IntelliJ, VS Code",26.5,27
189,Treatment,24,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Fully agree,,IntelliJ,27.2,27
190,Treatment,24,Male,Student,>= 3 months && < 6 months,< 3 months,MacOS,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,,IntelliJ,29.5,30
191,Treatment,26,Male,Computer Engineering ,>= 3 years,>= 3 months && < 6 months,MacOS,Fully agree,Fully disagree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Fully disagree,Fully agree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,,"IntelliJ, Visual Studio, VS Code",24.75,24
192,Treatment,22,Male,Student,< 3 months,< 3 months,Windows,Partially disagree,Fully disagree,Partially agree,Neither agree nor disagree,Fully disagree,Fully disagree,Neither agree nor disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Neither agree nor disagree,Partially disagree,Fully disagree,Fully disagree,Fully disagree,,IntelliJ,27.75,27
193,Treatment,22,Male,Student,< 3 months,< 3 months,Windows,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Partially agree,Partially agree,Fully disagree,Partially disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,,"IntelliJ, VS Code",26.73,27
194,Treatment,24,Female,Student,< 3 months,< 3 months,MacOS,Partially agree,Partially disagree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,Partially agree,Partially disagree,Partially agree,Fully agree,Fully agree,,"VS Code, xcode",23,24
195,Treatment,22,Female,Student,< 3 months,< 3 months,Windows,Partially agree,Partially disagree,Partially agree,Partially agree,Fully disagree,Neither agree nor disagree,Partially agree,Partially agree,Fully disagree,Fully disagree,Partially agree,Fully agree,Fully agree,Partially agree,Partially agree,Fully agree,Fully agree,,IntelliJ,26.5,27
196,Treatment,27,Male,Student,>= 6 months && < 1 year,< 3 months,Windows,Fully disagree,Fully disagree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially disagree,Partially agree,Partially agree,Partially agree,Partially agree,,"IntelliJ, VS Code",20.83,21
197,Treatment,24,Male,Student,>= 1 year && < 3 years,< 3 months,Windows,Fully agree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially disagree,Fully agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,,IntelliJ,28,27
198,Treatment,24,Female,Student,< 3 months,< 3 months,Windows,Fully agree,Fully disagree,Partially agree,Partially disagree,Fully disagree,Fully disagree,Fully agree,Partially disagree,Fully disagree,Partially disagree,Fully disagree,Fully disagree,Fully disagree,Partially agree,Fully agree,Partially disagree,Partially disagree,,IntelliJ,0,0
199,Treatment,22,Female,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Partially agree,Fully agree,Partially agree,Partially disagree,Partially agree,Partially agree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Partially agree,Partially disagree,Partially agree,Partially agree,Fully agree,Partially disagree,,"Visual Studio, VS Code",30.33,30
200,Treatment,24,Female,Student,< 3 months,< 3 months,Windows,Partially disagree,Partially disagree,Neither agree nor disagree,Partially agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Partially agree,Partially agree,Neither agree nor disagree,,VS Code,29.9,30
201,Treatment,24,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Partially agree,Fully disagree,Partially agree,Neither agree nor disagree,Fully disagree,Neither agree nor disagree,Neither agree nor disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Partially agree,Fully disagree,Fully disagree,Fully disagree,Partially disagree,Fully disagree,,"IntelliJ, PyCharm, CLion, VS Code, Eclipse",26.7,27
202,Treatment,25,Female,Student,< 3 months,< 3 months,Windows,Neither agree nor disagree,Partially disagree,Fully agree,Fully disagree,Fully disagree,Partially disagree,Partially disagree,Fully disagree,Fully disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially disagree,Partially disagree,Neither agree nor disagree,Partially agree,,"Visual Studio, VS Code, Eclipse",19.78,21
203,Treatment,22,Male,Student,>= 1 year && < 3 years,< 3 months,Windows,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,,VS Code,23,24
204,Treatment,24,Female,student,>= 1 year && < 3 years,< 3 months,Windows,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,nope,IntelliJ,25,24
205,Treatment,23,Male,Student,< 3 months,< 3 months,Windows,Partially agree,Partially disagree,Neither agree nor disagree,Fully agree,Partially disagree,Partially agree,Fully disagree,Fully agree,Fully agree,Partially disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Fully agree,Fully agree,Fully disagree,Partially agree,"Make it run tests on a more automated way, in order to not need to stop and compile -> run tests in order to have feedback. Also the standard popups I feel like they're quite ugly and I associate them with issues more than ""positvie"" feedback","PyCharm, VS Code",25.9,27
206,Treatment,24,Male,Studente,< 3 months,< 3 months,Windows,Partially disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,,"IntelliJ, Visual Studio",27,27
207,Treatment,25,Male,Student,< 3 months,< 3 months,Windows,Partially agree,Partially agree,Fully agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially agree,,VS Code,22.3,21
208,Treatment,22,Female,student,< 3 months,< 3 months,Windows,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Fully disagree,Neither agree nor disagree,Partially agree,Fully disagree,Fully disagree,Neither agree nor disagree,,,,,,,,,IntelliJ,12.5,12
209,Treatment,22,Male,Student,>= 3 months && < 6 months,< 3 months,Windows,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Fully disagree,Fully disagree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,,IntelliJ,21.9,21
210,Treatment,25,Female,Student,>= 6 months && < 1 year,>= 3 months && < 6 months,Windows,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Fully agree,Partially agree,Fully agree,Partially agree,Fully agree,Partially disagree,Fully agree,,VS Code,22.33,21
211,Treatment,22,Male,Student,>= 3 months && < 6 months,< 3 months,MacOS,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Partially agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,VS Code,29.13,30
212,Treatment,25,Male,student,>= 3 months && < 6 months,< 3 months,Windows,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,,"IntelliJ, Webstorm, VS Code, Eclipse",26.51,27
213,Treatment,26,Male,student,>= 6 months && < 1 year,< 3 months,Windows,Fully agree,Neither agree nor disagree,Partially agree,Partially disagree,Fully disagree,Partially disagree,Fully disagree,Partially disagree,Fully disagree,Fully disagree,Fully disagree,Partially disagree,Fully disagree,,Fully disagree,Partially disagree,Fully disagree,,"VS Code, Eclipse",26.53,27
214,Treatment,23,Male,"Student, Mobile developer",< 3 months,< 3 months,Windows,Partially disagree,Partially disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Fully agree,Fully agree,,"Visual Studio, VS Code, Android Studio",25.6,27
215,Treatment,24,Female,student,< 3 months,< 3 months,Windows,Partially agree,Partially agree,Fully agree,Partially agree,Neither agree nor disagree,Fully disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Fully agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,,"IntelliJ, VS Code",19.5,21
216,Treatment,23,Male,Student,>= 1 year && < 3 years,< 3 months,Windows,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Fully agree,Partially agree,Fully agree,,VS Code,24.5,24
217,Treatment,23,Male,Studente,< 3 months,< 3 months,Windows,Fully disagree,Fully disagree,Partially agree,Partially agree,Partially disagree,Partially agree,Partially disagree,Fully agree,Fully disagree,Neither agree nor disagree,Fully disagree,Fully disagree,Fully disagree,Partially disagree,Partially agree,Partially disagree,Fully disagree,,"PyCharm, CLion, VS Code, Eclipse",30.83,30
218,Treatment,23,Male,student,< 3 months,< 3 months,Windows,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,,IntelliJ,27.8,27
219,Treatment,23,Male,Student,>= 3 months && < 6 months,< 3 months,MacOS,Partially disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Fully disagree,Fully disagree,Partially agree,Fully agree,Fully agree,Partially disagree,Partially disagree,Fully disagree,Partially disagree,Fully agree,Partially disagree,Partially agree,,"VS Code, Neovim",26.83,27
220,Treatment,22,Male,Student,>= 1 year && < 3 years,< 3 months,Windows,Neither agree nor disagree,Partially disagree,Partially disagree,Partially agree,Neither agree nor disagree,Fully agree,Fully agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,,VS Code,28,27
221,Treatment,23,Male,Student,>= 1 year && < 3 years,< 3 months,Windows,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially disagree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,,IntelliJ,26.83,27
222,Treatment,26,Male,Student,< 3 months,< 3 months,Windows,Partially disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Fully agree,"Plugin should be improved with motivational phrases combined with timed challenges. However, since the life of programmers can be stressful, time can be marked with various concentration techniques (for example Pomodoro Technique) and, possibly, various mindfulness techniques. Achievements are very useful (from the point of view of gamefication), but also an internal balance is certainly very useful, to have a better effectiveness and performance.","IntelliJ, VS Code",24.5,24
223,Treatment,22,Female,student,>= 3 months && < 6 months,< 3 months,Windows,Partially disagree,Fully disagree,Partially agree,Neither agree nor disagree,Fully disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Fully disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,,IntelliJ,29.3,30
224,Treatment,24,Female,student,< 3 months,< 3 months,MacOS,Neither agree nor disagree,Fully disagree,Partially agree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Partially disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Fully disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Fully disagree,"In a lot of occasions I was forced to wait several minutes for the files (ex: index.ts) to load so that i could write in them. The documentation loaded in more than 20 minutes. Idk how all this happened but it was very disturbing. I don't know how it happened to be like that in my PC, I know others did not have the same experience.",Visual Studio,22.57,24
225,Treatment,25,Female,student,< 3 months,< 3 months,Windows,Partially disagree,Partially disagree,Fully disagree,Fully disagree,Partially disagree,Fully disagree,Partially disagree,Partially disagree,Partially disagree,Fully disagree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,,"IntelliJ, VS Code",23.33,24
